iteration,step,kernel,probe,timestamp

None,pre_loop,None,start_time,2016-01-28 08:05:59.650342
None,pre_loop,None,wait_time,2016-01-28 08:05:59.659815
None,pre_loop,None,res_time,2016-01-28 08:06:14.248234
None,pre_loop,None,stop_time,2016-01-28 08:06:14.249174
1,sim,kernel_0,start_time,2016-01-28 08:06:14.249884
1,sim,kernel_0,wait_time,2016-01-28 08:06:23.117750
1,sim,kernel_0,res_time,2016-01-28 08:13:01.408094
1,sim,kernel_0,stop_time,2016-01-28 08:13:01.413092
1,sim,post,start_time,2016-01-28 08:13:01.413125
1,sim,post,stop_time,2016-01-28 08:13:01.511794
1,ana,kernel_0,start_time,2016-01-28 08:13:01.790336
1,ana,kernel_0,wait_time,2016-01-28 08:13:02.082631
1,ana,kernel_0,res_time,2016-01-28 08:13:27.336887
1,ana,kernel_0,stop_time,2016-01-28 08:13:27.337671
1,ana,kernel_1,start_time,2016-01-28 08:13:27.337701
1,ana,kernel_1,wait_time,2016-01-28 08:13:27.582633
1,ana,kernel_1,res_time,2016-01-28 08:13:53.207212
1,ana,kernel_1,stop_time,2016-01-28 08:13:53.207740
1,ana,kernel_2,start_time,2016-01-28 08:13:53.207769
1,ana,kernel_2,wait_time,2016-01-28 08:13:53.430294
1,ana,kernel_2,res_time,2016-01-28 08:14:12.221116
1,ana,kernel_2,stop_time,2016-01-28 08:14:12.221436
1,ana,post,start_time,2016-01-28 08:14:12.221464
1,ana,post,stop_time,2016-01-28 08:14:12.221749
